date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:59:34	336373/336373	---MCZ	200	added ('OK')	text/css	etag:W/%222995ba54f2c587de0db553ce4d7cec12%22	https://vendor-cdn.imweb.me/minify_css/vendor_blue_10.css?1653367465	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/minify_css/vendor_blue_10fd67.css	(from https://jejubeer.co.kr/)
22:59:34	188453/188453	---MCZ	200	added ('OK')	text/css	etag:W/%227da1dae3dc085edc7b17c0ef26ada3d8%22	https://vendor-cdn.imweb.me/minify_css/vendor_red_10.css?1653367465	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/minify_css/vendor_red_10fd67.css	(from https://jejubeer.co.kr/)
22:59:35	1008/1008	---MCZ	200	added ('OK')	text/css	etag:W/%22b757badc183c0a6a14aae84a417a22f1%22	https://vendor-cdn.imweb.me/css/im_component.css?1698001225	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/im_componenta183.css	(from https://jejubeer.co.kr/)
22:59:35	8438/8438	---MCZ	200	added ('OK')	text/css	etag:W/%22a77d17ebdf3eaf9a5bcc6ce298842e16%22	https://vendor-cdn.imweb.me/css/site/alarm_menu.css?1678083003	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/site/alarm_menu1e8d.css	(from https://jejubeer.co.kr/)
22:59:35	11186/11186	---MCZ	200	added ('OK')	text/css	etag:W/%22dcd2b1e978a669172a0ee54909b2474d%22	https://vendor-cdn.imweb.me/css/function.css?1666824024	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/function9092.css	(from https://jejubeer.co.kr/)
22:59:35	291161/291161	---MCZ	200	added ('OK')	text/css	etag:W/%2236749659251f96d2eacb234a79b86eff%22	https://vendor-cdn.imweb.me/css/site/site.css?1719268487	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/site/site18fa.css	(from https://jejubeer.co.kr/)
22:59:35	340443/340443	---MCZ	200	added ('OK')	text/css	etag:W/%22635e891b2c00dde8b07dc040b8bd9507%22	https://vendor-cdn.imweb.me/css/site/site2.css?1719268485	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/site/site239c3.css	(from https://jejubeer.co.kr/)
22:59:36	1471/1471	---MCZ	200	added ('OK')	text/css	etag:W/%22232888fcfd95b6ca4648f9561a0959c1%22	https://vendor-cdn.imweb.me/css/site/iefix2.css?1590627710	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/site/iefix27b18.css	(from https://jejubeer.co.kr/)
22:59:36	77840/77840	---MCZ	200	added ('OK')	text/css	etag:W/%22a4687c31623987f35b1f356d73f7cb06%22	https://vendor-cdn.imweb.me/css/animate.css?1577682282	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/animate6c3e.css	(from https://jejubeer.co.kr/)
22:59:36	14273/14273	---MCZ	200	added ('OK')	text/css	etag:W/%221a134edc02e593f24b5c42353ce61049%22	https://vendor-cdn.imweb.me/css/chosen.css?1617331870	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/chosen4863.css	(from https://jejubeer.co.kr/)
22:59:36	773/773	---M--	200	added ('OK')	text/css	etag:%22886d759b621d7e2156acb3eaa7a9d859%22	https://vendor-cdn.imweb.me/css/chosenImage.css?1617331762	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/chosenImage4e9c.css	(from https://jejubeer.co.kr/)
22:59:37	4345/4345	---MCZ	200	added ('OK')	text/css	etag:W/%22258d384083ba2e3a67ec7d22d9b38b5b%22	https://vendor-cdn.imweb.me/fonts/im-icon/style.css?1706507651	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/fonts/im-icon/style2cb4.css	(from https://jejubeer.co.kr/)
22:59:37	4676/4676	---MCZ	200	added ('OK')	text/css	etag:W/%2290b5724d357193e87476e54f243f2434%22	https://vendor-cdn.imweb.me/css/ii.css?1708480841	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/iifa82.css	(from https://jejubeer.co.kr/)
22:59:37	511/511	---M--	200	added ('OK')	text/css	etag:%22ef0d1fd5a34bd63d479445b0223ad52b%22	https://vendor-cdn.imweb.me/fonts/pretendard/web/variable/pretendardvariable.css?1669875619	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/fonts/pretendard/web/variable/pretendardvariable3afe.css	(from https://jejubeer.co.kr/)
22:59:37	2345/2345	---MCZ	200	added ('OK')	text/css	etag:W/%22b1ba7e213d62000d8a8ba19509fee5a7%22	https://vendor-cdn.imweb.me/fonts/pretendard/web/static/pretendard.css?1669875619	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/fonts/pretendard/web/static/pretendard3afe.css	(from https://jejubeer.co.kr/)
22:59:37	1471/1471	---MCZ	200	added ('OK')	text/css	etag:W/%222c7026abca22aa0b59cfbcf5e0ea10b1%22	https://vendor-cdn.imweb.me/fonts/froala-emoji-tap/style.css?1669163161	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/fonts/froala-emoji-tap/style9fbd.css	(from https://jejubeer.co.kr/)
22:59:38	163446/163446	---MCZ	200	added ('OK')	text/css	date:Wed,%2026%20Jun%202024%2013:59:47%20GMT	https://jejubeer.co.kr/css/custom.cm?1719299818	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/css/customce95.css	(from https://jejubeer.co.kr/)
22:59:38	129732/129732	---MCZ	200	added ('OK')	text/css	etag:W/%22bf2236a1f1506c4ae8e37a7c22551a29%22	https://vendor-cdn.imweb.me/css/tailwind.css?1719319383	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/tailwindb605.css	(from https://jejubeer.co.kr/)
22:59:38	76371/76371	---MCZ	200	added ('OK')	text/css	etag:W/%22182103d941eb80d080d3aed950c725d0%22	https://vendor-cdn.imweb.me/css/emoji.css?1669163161	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/emoji9fbd.css	(from https://jejubeer.co.kr/)
22:59:38	56462/56462	---MCZ	200	added ('OK')	text/css	etag:W/%2288fa35a5ba862e078f3d2450e5987714%22	https://vendor-cdn.imweb.me/css/font-awesome5.min.css?1669163183	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/font-awesome5.min6a29.css	(from https://jejubeer.co.kr/)
22:59:39	1191/1191	---MCZ	200	added ('OK')	text/css	etag:W/%22c201597f2eec97117de03f86295d1338%22	https://vendor-cdn.imweb.me/css/spocahansans.css	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/spocahansans.css	(from https://jejubeer.co.kr/)
22:59:39	1117/1117	---MCZ	200	added ('OK')	text/css	etag:W/%223070b0703d6621d221e892db1990ccfe%22	https://vendor-cdn.imweb.me/css/montserrat.css	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/css/montserrat.css	(from https://jejubeer.co.kr/)
22:59:39	97164/97164	---MCZ	200	added ('OK')	application/javascript	etag:W/%2240820d88085f0175b8531c9077ac6a0f%22	https://vendor-cdn.imweb.me/js/jquery.js?1627517460	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/js/jquerya558.js	(from https://jejubeer.co.kr/)
22:59:39	710524/710524	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e3d614357bc100b961fb871cdd27d39%22	https://vendor-cdn.imweb.me/js/jquery-ui.design.js?1627517437	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/js/jquery-ui.designb253.js	(from https://jejubeer.co.kr/)
22:59:39	73261/73261	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bc0594c54450e8ac689739b6b198067a%22	https://vendor-cdn.imweb.me/js/lodash.min.js?1656295899	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/js/lodash.mind91c.js	(from https://jejubeer.co.kr/)
22:59:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2013:59:49%20GMT	http://unpkg.com/vue@3/dist/vue.global.prod.js	C:/My%20Web%20Sites/jejubeer/unpkg.com/vue@3/dist/vue.global.prod.2b.delayed	(from https://jejubeer.co.kr/)
22:59:41	57/57	---MC-	302	error ('Found')	text/plain	date:Wed,%2026%20Jun%202024%2013:59:51%20GMT	https://unpkg.com/vue@3/dist/vue.global.prod.js	C:/My%20Web%20Sites/jejubeer/unpkg.com/vue@3/dist/vue.global.prod.2c.delayed	(from https://jejubeer.co.kr/)
22:59:42	146180/146180	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223b04-DPnNJXEVIWOxw1Y81kQr43qnV40%22	https://unpkg.com/vue@3.4.30/dist/vue.global.prod.js	C:/My%20Web%20Sites/jejubeer/unpkg.com/vue@3.4.30/dist/vue.global.prod.js	(from https://jejubeer.co.kr/)
22:59:42	17944/17944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2287d88df506ae6ff73b8f6a1f3e8520d4%22	https://vendor-cdn.imweb.me/js/axios.min.js?1689048978	C:/My%20Web%20Sites/jejubeer/vendor-cdn.imweb.me/js/axios.min3f46.js	(from https://jejubeer.co.kr/)
22:59:42	2020/2020	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265357149-7e4%22	https://jejubeer.co.kr/Lw%3D%3D	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/Lw==.2f.delayed	(from https://jejubeer.co.kr/)
22:59:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2013:59:52%20GMT	https://jejubeer.co.kr/upload/	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/upload/index.html	(from https://jejubeer.co.kr/)
22:59:42	926/926	---M--	200	added ('OK')	image/png	etag:%225e098575-39e%22	https://jejubeer.co.kr/img/transparency.png	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/img/transparency.png	(from https://jejubeer.co.kr/)
22:59:43	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2013:59:52%20GMT	https://jejubeer.co.kr/thumbnail/	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/thumbnail/index.html	(from https://jejubeer.co.kr/)
22:59:43	2386845/2386845	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2013:59:52%20GMT	https://jejubeer.co.kr/mycampingcar	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/mycampingcar.html	(from https://jejubeer.co.kr/)
22:59:43	421727/421727	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2013:59:53%20GMT	https://jejubeer.co.kr/shop	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/shop.html	(from https://jejubeer.co.kr/)
22:59:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2013:59:53%20GMT	https://jejubeer.co.kr/event	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/event	(from https://jejubeer.co.kr/)
22:59:44	247417/247417	---MC-	302	error ('Found')	text/html	date:Wed,%2026%20Jun%202024%2013:59:53%20GMT	https://jejubeer.co.kr/summergoodsfesta	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/summergoodsfesta	(from https://jejubeer.co.kr/)
22:59:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2026%20Jun%202024%2013:59:53%20GMT	http://jejubeer.co.kr/login?back_url=L3N1bW1lcmdvb2RzZmVzdGE%3D	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/login.354a1a.delayed	(from https://jejubeer.co.kr/)
22:59:45	413085/413085	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2013:59:54%20GMT	https://jejubeer.co.kr/login?back_url=L3N1bW1lcmdvb2RzZmVzdGE%3D	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/login4a1a.html	(from https://jejubeer.co.kr/)
22:59:45	359368/359368	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2013:59:55%20GMT	https://jejubeer.co.kr/playlist	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/playlist.html	(from https://jejubeer.co.kr/)
22:59:45	17794/17794	---M--	200	added ('OK')	text/css	etag:%22ece1b70063475fe0d0344205f981656f%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/common.css	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/common.css	(from https://jejubeer.co.kr/)
22:59:46	4176/4176	---M--	200	added ('OK')	text/css	etag:%220feaff2b31472135a0d51b4d9de285af%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/menu.css	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/menu.css	(from https://jejubeer.co.kr/)
22:59:46	10224/10224	---M--	200	added ('OK')	text/css	etag:%225c02084cba8bcd689008a035179c3189%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/playList.css	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/playList.css	(from https://jejubeer.co.kr/)
22:59:46	1770/1770	---M--	200	added ('OK')	text/css	etag:%2292982883c09ea600782a29519d335c8e%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/share.css	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/share.css	(from https://jejubeer.co.kr/)
22:59:46	6067/6067	---M--	200	added ('OK')	text/css	etag:%2273f1c0e9773d3d4a10f4b01bf3e6d923%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/fonts.css	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/css/fonts.css	(from https://jejubeer.co.kr/)
22:59:47	1656/1656	---M--	200	added ('OK')	image/png	etag:%22f5d5b369b98dde9ade83b47c2fd0e617%22	https://cdn.imweb.me/upload/S20200702f03eaee38b16e/ed7b30cc97d68.png	C:/My%20Web%20Sites/jejubeer/cdn.imweb.me/upload/S20200702f03eaee38b16e/ed7b30cc97d68.png	(from https://jejubeer.co.kr/)
22:59:47	1695/1695	---MCZ	200	added ('OK')	text/javascript	etag:W/%227eae9cc4e01cd95b3a8356d115579d7e%22	https://cdn.channel.io/plugin/ch-plugin-web.js	C:/My%20Web%20Sites/jejubeer/cdn.channel.io/plugin/ch-plugin-web.js	(from https://jejubeer.co.kr/)
22:59:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2026%20Jun%202024%2013:59:57%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/jejubeer/www.googletagmanager.com/gtm.3f5445.delayed	(from https://jejubeer.co.kr/)
22:59:48	2020/2020	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265357149-7e4%22	https://jejubeer.co.kr/realdmp.realclick.co.kr/rtarget/rtget.js?dsp_adid=jejubeernouveau	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/realdmp.realclick.co.kr/rtarget/rtget.40b7af.delayed	(from https://jejubeer.co.kr/)
22:59:48	2020/2020	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2265357149-7e4%22	https://jejubeer.co.kr/tk.realclick.co.kr/tk_comm.js?dspu=	C:/My%20Web%20Sites/jejubeer/jejubeer.co.kr/tk.realclick.co.kr/tk_comme918.js	(from https://jejubeer.co.kr/)
22:59:48	2798/2798	---M--	200	added ('OK')	image/png	etag:%227f143b006621e538b7700b57612577b0%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/images/button-top.png	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/images/button-top.png	(from https://jejubeer.co.kr/)
22:59:48	2666/2666	---M--	200	added ('OK')	image/png	etag:%2258f568112cafc54c082540f65b1307fe%22	https://jbimweb.s3.ap-northeast-2.amazonaws.com/resource/images/button-share.png	C:/My%20Web%20Sites/jejubeer/jbimweb.s3.ap-northeast-2.amazonaws.com/resource/images/button-share.png	(from https://jejubeer.co.kr/)
22:59:49	33202/33202	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2017%20Oct%202022%2013:35:45%20GMT	https://t1.daumcdn.net/mapjsapi/bundle/postcode/prod/postcode.v2.js	C:/My%20Web%20Sites/jejubeer/t1.daumcdn.net/mapjsapi/bundle/postcode/prod/postcode.v2.js	(from https://jejubeer.co.kr/)
22:59:49	38058/38058	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2026%20Jun%202024%2013:59:59%20GMT	https://player.vimeo.com/api/player.js	C:/My%20Web%20Sites/jejubeer/player.vimeo.com/api/player.js	(from https://jejubeer.co.kr/)
22:59:49	224626/224626	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2026%20Jun%202024%2013:59:59%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/jejubeer/connect.facebook.net/en_US/fbevents.js	(from https://jejubeer.co.kr/)
